   WAVE          FLUX
    cm        erg/s/cm^3
1.031170e-03 5.235966e+10
1.043219e-03 5.792424e+10
1.055408e-03 5.019240e+10
1.067740e-03 4.631697e+10
1.080216e-03 4.976378e+10
1.092837e-03 4.890319e+10
1.105606e-03 4.673252e+10
1.118525e-03 4.433119e+10
1.131594e-03 4.101388e+10
1.144816e-03 3.842656e+10
1.158193e-03 3.810585e+10
1.171725e-03 3.712800e+10
1.185416e-03 3.332895e+10
1.199267e-03 3.394529e+10
1.213280e-03 3.203359e+10
1.227456e-03 2.781321e+10
1.241798e-03 2.721452e+10
1.256308e-03 2.838269e+10
1.270987e-03 2.727145e+10
1.285838e-03 2.593070e+10
1.300862e-03 2.368496e+10
1.316062e-03 2.321783e+10
1.331439e-03 2.270939e+10
1.346996e-03 2.169587e+10
1.362735e-03 2.074169e+10
1.378658e-03 1.761182e+10
1.394767e-03 1.890572e+10
1.411064e-03 1.391290e+10
1.427551e-03 1.685943e+10
1.444231e-03 1.632684e+10
1.461106e-03 1.572563e+10
1.478178e-03 1.505887e+10
1.495450e-03 1.288839e+10
1.512923e-03 1.376210e+10
1.530601e-03 1.285924e+10
1.548485e-03 1.246412e+10
1.566578e-03 1.189411e+10
1.584883e-03 1.134226e+10
1.603401e-03 1.093025e+10
1.622136e-03 9.996437e+09
1.641090e-03 9.926389e+09
1.660265e-03 9.493450e+09
1.679664e-03 8.994215e+09
1.699290e-03 8.461670e+09
1.719145e-03 8.298994e+09
1.739232e-03 6.940296e+09
1.759554e-03 6.786716e+09
1.780113e-03 7.227008e+09
1.800913e-03 6.849810e+09
1.821955e-03 6.332112e+09
1.843244e-03 6.234492e+09
1.864781e-03 6.034600e+09
1.886570e-03 5.747048e+09
1.908613e-03 5.122080e+09
1.930914e-03 5.254603e+09
1.953476e-03 5.022533e+09
1.976301e-03 4.792341e+09
1.999393e-03 4.565115e+09
2.022755e-03 0.000000e+00
2.046389e-03 0.000000e+00
2.070300e-03 0.000000e+00
2.094490e-03 0.000000e+00
2.118963e-03 0.000000e+00
2.143722e-03 0.000000e+00
2.168770e-03 0.000000e+00
2.194111e-03 0.000000e+00
2.219748e-03 0.000000e+00
2.245684e-03 0.000000e+00
2.271923e-03 0.000000e+00
2.298469e-03 0.000000e+00
2.325326e-03 0.000000e+00
