   WAVE        REDDENING
    cm
2.581602e-03 0.000000e+00
2.611766e-03 0.000000e+00
2.642283e-03 0.000000e+00
2.673157e-03 0.000000e+00
2.704391e-03 0.000000e+00
2.735990e-03 0.000000e+00
2.767958e-03 0.000000e+00
2.800300e-03 0.000000e+00
2.833020e-03 0.000000e+00
2.866122e-03 0.000000e+00
2.899611e-03 0.000000e+00
2.933491e-03 0.000000e+00
2.967767e-03 0.000000e+00
3.002444e-03 0.000000e+00
3.037526e-03 0.000000e+00
3.073017e-03 0.000000e+00
3.108924e-03 0.000000e+00
3.145249e-03 0.000000e+00
3.182000e-03 0.000000e+00
3.219180e-03 0.000000e+00
3.256794e-03 0.000000e+00
3.294847e-03 0.000000e+00
3.333346e-03 0.000000e+00
3.372294e-03 0.000000e+00
3.411697e-03 0.000000e+00
3.451561e-03 0.000000e+00
3.491890e-03 0.000000e+00
3.532691e-03 0.000000e+00
3.573968e-03 0.000000e+00
3.615728e-03 0.000000e+00
3.657975e-03 0.000000e+00
3.700716e-03 0.000000e+00
3.743957e-03 0.000000e+00
3.787703e-03 0.000000e+00
3.831960e-03 0.000000e+00
3.876734e-03 0.000000e+00
3.922031e-03 0.000000e+00
3.967858e-03 0.000000e+00
4.014220e-03 0.000000e+00
4.061124e-03 0.000000e+00
4.108575e-03 0.000000e+00
4.156581e-03 0.000000e+00
4.205149e-03 0.000000e+00
4.254283e-03 0.000000e+00
4.303992e-03 0.000000e+00
4.354281e-03 0.000000e+00
4.405159e-03 0.000000e+00
4.456630e-03 0.000000e+00
4.508703e-03 0.000000e+00
4.561385e-03 0.000000e+00
4.614682e-03 0.000000e+00
4.668601e-03 0.000000e+00
4.723151e-03 0.000000e+00
4.778338e-03 0.000000e+00
4.834170e-03 0.000000e+00
4.890655e-03 0.000000e+00
4.947799e-03 0.000000e+00
5.005611e-03 0.000000e+00
5.064099e-03 0.000000e+00
5.123270e-03 0.000000e+00
5.183132e-03 0.000000e+00
5.243694e-03 0.000000e+00
5.304963e-03 0.000000e+00
5.366948e-03 0.000000e+00
5.429658e-03 0.000000e+00
5.493100e-03 0.000000e+00
5.557284e-03 0.000000e+00
5.622217e-03 0.000000e+00
5.687909e-03 0.000000e+00
5.754369e-03 0.000000e+00
5.821605e-03 0.000000e+00
5.889627e-03 0.000000e+00
5.958444e-03 0.000000e+00
6.028065e-03 0.000000e+00
6.098499e-03 0.000000e+00
6.169756e-03 0.000000e+00
6.241846e-03 0.000000e+00
6.314778e-03 0.000000e+00
6.388563e-03 0.000000e+00
6.463209e-03 0.000000e+00
6.538728e-03 0.000000e+00
6.615129e-03 0.000000e+00
6.692423e-03 0.000000e+00
6.770620e-03 0.000000e+00
6.849730e-03 0.000000e+00
6.929765e-03 0.000000e+00
7.010735e-03 0.000000e+00
7.092651e-03 0.000000e+00
7.175525e-03 0.000000e+00
7.259366e-03 0.000000e+00
7.344188e-03 0.000000e+00
7.430000e-03 0.000000e+00
7.516815e-03 0.000000e+00
7.604644e-03 0.000000e+00
7.693500e-03 0.000000e+00
7.783394e-03 0.000000e+00
7.874338e-03 0.000000e+00
7.966345e-03 0.000000e+00
8.059427e-03 0.000000e+00
8.153596e-03 0.000000e+00
8.248866e-03 0.000000e+00
8.345249e-03 0.000000e+00
8.442758e-03 0.000000e+00
8.541407e-03 0.000000e+00
8.641208e-03 0.000000e+00
8.742175e-03 0.000000e+00
8.844322e-03 0.000000e+00
8.947663e-03 0.000000e+00
9.052211e-03 0.000000e+00
9.157980e-03 0.000000e+00
9.264986e-03 0.000000e+00
9.373242e-03 0.000000e+00
9.482762e-03 0.000000e+00
9.593563e-03 0.000000e+00
9.705658e-03 0.000000e+00
9.819062e-03 0.000000e+00
9.933792e-03 0.000000e+00
1.004986e-02 0.000000e+00
1.016729e-02 0.000000e+00
1.028609e-02 0.000000e+00
1.040627e-02 0.000000e+00
1.052787e-02 0.000000e+00
1.065088e-02 0.000000e+00
1.077533e-02 0.000000e+00
1.090123e-02 0.000000e+00
1.102860e-02 0.000000e+00
1.115747e-02 0.000000e+00
1.128783e-02 0.000000e+00
1.141973e-02 0.000000e+00
1.155316e-02 0.000000e+00
1.168815e-02 0.000000e+00
1.182472e-02 0.000000e+00
1.196288e-02 0.000000e+00
1.210266e-02 0.000000e+00
1.224407e-02 0.000000e+00
1.238714e-02 0.000000e+00
1.253188e-02 0.000000e+00
1.267830e-02 0.000000e+00
1.282644e-02 0.000000e+00
1.297631e-02 0.000000e+00
1.312793e-02 0.000000e+00
1.328132e-02 0.000000e+00
1.343651e-02 0.000000e+00
1.359350e-02 0.000000e+00
1.375234e-02 0.000000e+00
1.391302e-02 0.000000e+00
1.407559e-02 0.000000e+00
1.424005e-02 0.000000e+00
1.440644e-02 0.000000e+00
1.457477e-02 0.000000e+00
1.474507e-02 0.000000e+00
1.491735e-02 0.000000e+00
1.509166e-02 0.000000e+00
1.526799e-02 0.000000e+00
1.544639e-02 0.000000e+00
1.562687e-02 0.000000e+00
1.580946e-02 0.000000e+00
1.599419e-02 0.000000e+00
1.618107e-02 0.000000e+00
1.637013e-02 0.000000e+00
1.656141e-02 0.000000e+00
1.675492e-02 0.000000e+00
1.695069e-02 0.000000e+00
1.714875e-02 0.000000e+00
